,Marka:,Seri:,Model:,Yıl:,Yakıt Tipi:,Vites Tipi:,Motor Hacmi:,Motor Gücü:,Kilometre:,İlan No:
0, Renault   , Megane   , 1.6 Dynamique   , 2004   , LPG & Benzin   , Düz   , 1598 cc   , 115 hp   , 235.000 km   ,
1, Opel   , Corsa   , 1.4 Essentia   , 2015   , LPG & Benzin   , Otomatik   , 1398 cc   , 90 hp   , 80.400 km   ,
2, Opel   , Astra   , 1.6 Elegance   , 2003   , LPG & Benzin   , Düz   , 1598 cc   , 103 hp   , 260.000 km   ,
3, Volkswagen   , Passat   , 1.6 TDi BlueMotion Highline   , 2017   , Dizel   , Yarı Otomatik   , 1598 cc   , 120 hp   , 63.000 km   ,
4, BMW   , 5 Serisi   , 530xd Gran Turismo Premium   , 2011   , Dizel   , Yarı Otomatik   , 2501 - 3000 cm3   , 226 - 250 HP   , 350.000 km   ,
5, Fiat   , Egea   , 1.3 Multijet Urban   , 2017   , Dizel   , Düz   , 1248 cc   , 95 hp   , 67.314 km   ,
6, Peugeot   , RCZ   , 1.6 THP Yearling   , 2011   , Benzin   , Yarı Otomatik   , 1401 - 1600 cm3   , 151 - 175 HP   , 134.000 km   ,
7, Mercedes - Benz   , C   , C 200 d BlueTEC AMG   , 2016   , Dizel   , Otomatik   , 1598 cc   , 136 hp   , 54.000 km   ,
8, Fiat   , Albea   , Sole 1.3 Multijet Dynamic Plus   , 2010   , Dizel   , Düz   , 1248 cc   , 70 hp   , 200.000 km   ,
9, Audi   , A6   , A6 Sedan 2.0 TDI   , 2012   , Dizel   , Yarı Otomatik   , 1801 - 2000 cm3   , 176 - 200 HP   , 147.000 km   ,
10, Volkswagen   , Polo   , 1.4 TDi Trendline   , 2015   , Dizel   , Düz   , 1422 cc   , 75 hp   , 130.000 km   ,
11, Volkswagen   , Passat   , 2.0 TDi Highline   , 2009   , Dizel   , Yarı Otomatik   , 1968 cc   , 140 hp   , 260.000 km   ,
12, Volkswagen   , Golf   , 1.6 Primeline   , 2009   , LPG & Benzin   , Düz   , 1401 - 1600 cm3   , 101 - 125 HP   , 182.000 km   ,
13, Volkswagen   , Golf   , 1.6 TDi Comfortline   , 2011   , Dizel   , Yarı Otomatik   , 1598 cc   , 105 hp   , 139.000 km   ,
14, Ford   , Fiesta   , 1.6 Ti-VCT Trend X   , 2017   , LPG & Benzin   , Yarı Otomatik   , 1596 cc   , 105 hp   , 31.000 km   ,
15, Fiat   , Egea   , 1.3 Multijet Easy   , 2016   , Dizel   , Düz   , 1248 cc   , 95 hp   , 98.000 km   ,
16, Renault   , Clio   , 1.5 dCi Touch   , 2016   , Dizel   , Yarı Otomatik   , 1461 cc   , 90 hp   , 120.000 km   ,
17, Opel   , Astra   , 1.6 Enjoy   , 2012   , LPG & Benzin   , Düz   , 1598 cc   , 115 hp   , 69.738 km   ,
18, BMW   , 5 Serisi   , 520i M Sport   , 2014   , Benzin   , Otomatik   , 1592 cc   , 170 hp   , 91.500 km   ,
19, Renault   , Clio   , 1.5 dCi Touch   , 2017   , Dizel   , Yarı Otomatik   , 1461 cc   , 90 hp   , 71.782 km   ,
20, Tofaş   , Doğan   , SLX   , 1995   , LPG & Benzin   , Düz   , 1581 cc   , 83 hp   , 99.000 km   ,
21, Opel   , Astra   , 1.6 CDTI Excellence   , 2016   , Dizel   , Otomatik   , 1598 cc   , 136 hp   , 58.000 km   ,
22, Volkswagen   , Polo   , 1.4 TDi Comfortline   , 2017   , Dizel   , Yarı Otomatik   , 1422 cc   , 90 hp   , 101.051 km   ,
